model,model_family,strategy,actual_device,selection_split,cost_scenario,cost_ratio,roc_auc,pr_auc,precision,recall,f1,threshold,tn,fp,fn,tp,fn_cost,fp_cost,total_cost
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.3577306193157211,0.22180451127819548,0.2738272832753191,0.25,40920,1483,2898,826,5,1,15973
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.3605212355212355,0.2005907626208378,0.2577639751552795,0.26,41078,1325,2977,747,5,1,16210
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.371931696905016,0.1871643394199785,0.24901750625223293,0.27,41226,1177,3027,697,5,1,16312
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.37572590011614404,0.17373791621911922,0.23760558207858978,0.28,41328,1075,3077,647,5,1,16460
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.3879746835443038,0.1646079484425349,0.23114630467571645,0.29,41436,967,3111,613,5,1,16522
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.39986043265875787,0.15386680988184748,0.2222222222222222,0.3,41543,860,3151,573,5,1,16615
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.41035548686244205,0.14258861439312567,0.21163810282981269,0.31,41640,763,3193,531,5,1,16728
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.4174428450465707,0.1323845327604726,0.20101936799184505,0.32,41715,688,3231,493,5,1,16843
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.43059490084985835,0.12244897959183673,0.19067530838385952,0.33,41800,603,3268,456,5,1,16943
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.43912591050988553,0.11331901181525242,0.18014941302027748,0.34,41864,539,3302,422,5,1,17049
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.4460093896713615,0.10204081632653061,0.1660839160839161,0.35,41931,472,3344,380,5,1,17192
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.44502617801047123,0.09129967776584318,0.15151515151515152,0.36,41979,424,3384,340,5,1,17344
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.4566813509544787,0.08351235230934478,0.14120317820658343,0.37,42033,370,3413,311,5,1,17435
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.4560530679933665,0.0738453276047261,0.12710885139819736,0.38,42075,328,3449,275,5,1,17573
stage5_lightgbm_raw_gpu,lightgbm,raw,gpu,valid,fn5_fp1,5:1,0.7641809727961154,0.2569212584816172,0.474671669793621,0.06793770139634801,0.11886304909560723,0.39,42123,280,3471,253,5,1,17635
