model,model_family,strategy,calibration_method,split,bin,lower,upper,count,mean_predicted_probability,observed_default_rate,absolute_gap,weighted_gap
stage5_xgboost_raw_cuda,xgboost,raw,sigmoid,valid,5,0.4,0.5,377,0.44420641079711853,0.3925729442970822,0.05163346650003631,0.0004220048316715522
stage5_xgboost_raw_cuda,xgboost,raw,sigmoid,valid,6,0.5,0.6000000000000001,197,0.5456114993128869,0.40609137055837563,0.13952012875451125,0.0005958650110485988
stage5_xgboost_raw_cuda,xgboost,raw,sigmoid,valid,7,0.6000000000000001,0.7000000000000001,124,0.6432003889635828,0.4435483870967742,0.1996520018668086,0.0005367105649941307
stage5_xgboost_raw_cuda,xgboost,raw,sigmoid,valid,8,0.7000000000000001,0.8,112,0.7448412736068967,0.5625,0.18234127360689667,0.0004427390171477101
stage5_xgboost_raw_cuda,xgboost,raw,sigmoid,valid,9,0.8,0.9,45,0.8416892891706202,0.6444444444444445,0.19724484472617576,0.0001924256511951332
stage5_xgboost_raw_cuda,xgboost,raw,sigmoid,valid,10,0.9,1.0,4,0.9235076604974721,0.5,0.4235076604974721,3.6725359160359194e-05
stage5_xgboost_raw_cuda,xgboost,raw,sigmoid,test,1,0.0,0.1,38005,0.05259334036489068,0.04994079726351796,0.002652543101372723,0.0021854857365029234
stage5_xgboost_raw_cuda,xgboost,raw,sigmoid,test,2,0.1,0.2,5222,0.13575803927162175,0.17464572960551514,0.03888769033389339,0.004402443664742803
stage5_xgboost_raw_cuda,xgboost,raw,sigmoid,test,3,0.2,0.30000000000000004,1398,0.24316454199527837,0.24821173104434907,0.005047189049070699,0.0001529683328766414
stage5_xgboost_raw_cuda,xgboost,raw,sigmoid,test,4,0.30000000000000004,0.4,631,0.3445717612292374,0.33438985736925514,0.010181903859982244,0.00013928461282218215
stage5_xgboost_raw_cuda,xgboost,raw,sigmoid,test,5,0.4,0.5,358,0.446413391017842,0.3547486033519553,0.0916647876658867,0.0007114270163762534
stage5_xgboost_raw_cuda,xgboost,raw,sigmoid,test,6,0.5,0.6000000000000001,210,0.5480688210843899,0.37142857142857144,0.17664024965581848,0.0008041809011581478
stage5_xgboost_raw_cuda,xgboost,raw,sigmoid,test,7,0.6000000000000001,0.7000000000000001,130,0.6469361703069287,0.4461538461538462,0.20078232415308256,0.0005658660251024505
stage5_xgboost_raw_cuda,xgboost,raw,sigmoid,test,8,0.7000000000000001,0.8,102,0.7482379184101885,0.5098039215686274,0.23843399684156108,0.0005272458143351882
stage5_xgboost_raw_cuda,xgboost,raw,sigmoid,test,9,0.8,0.9,56,0.8471915071826884,0.5357142857142857,0.31147722146840273,0.000378145650101471
stage5_xgboost_raw_cuda,xgboost,raw,sigmoid,test,10,0.9,1.0,15,0.9279925029747246,0.7333333333333333,0.1946591696413913,6.33010502443443e-05
stage5_xgboost_raw_cuda,xgboost,raw,isotonic,valid,1,0.0,0.1,33366,0.04114967634717977,0.041149673320146254,3.0270335127369208e-09,2.1896069587439047e-09
stage5_xgboost_raw_cuda,xgboost,raw,isotonic,valid,2,0.1,0.2,8959,0.12970197566692712,0.12970197566692712,0.0,0.0
stage5_xgboost_raw_cuda,xgboost,raw,isotonic,valid,3,0.2,0.30000000000000004,1808,0.24004424778761063,0.24004424778761063,0.0,0.0
stage5_xgboost_raw_cuda,xgboost,raw,isotonic,valid,4,0.30000000000000004,0.4,1595,0.34733542319749217,0.34733542319749217,0.0,0.0
stage5_xgboost_raw_cuda,xgboost,raw,isotonic,valid,5,0.4,0.5,240,0.44583333333333325,0.44583333333333336,1.1102230246251565e-16,5.776519737031187e-19
stage5_xgboost_raw_cuda,xgboost,raw,isotonic,valid,6,0.5,0.6000000000000001,74,0.5,0.5,0.0,0.0
stage5_xgboost_raw_cuda,xgboost,raw,isotonic,valid,7,0.6000000000000001,0.7000000000000001,77,0.6623376623376622,0.6623376623376623,1.1102230246251565e-16,1.853300082297506e-19
stage5_xgboost_raw_cuda,xgboost,raw,isotonic,valid,8,0.7000000000000001,0.8,8,0.75,0.75,0.0,0.0
stage5_xgboost_raw_cuda,xgboost,raw,isotonic,valid,9,0.8,0.9,0,,,,0.0
stage5_xgboost_raw_cuda,xgboost,raw,isotonic,valid,10,0.9,1.0,0,,,,0.0
stage5_xgboost_raw_cuda,xgboost,raw,isotonic,test,1,0.0,0.1,33267,0.04087165254895728,0.041512610094087236,0.0006409575451299596,0.00046226146625270154
