model,split,roc_auc,pr_auc,precision,recall,f1,threshold,tn,fp,fn,tp
xgboost_cuda_numeric,valid,0.7514294044411921,0.24127160426598313,0.16511300382268124,0.6611170784103115,0.26423396833914675,0.5,29954,12449,1262,2462
xgboost_cuda_numeric,test,0.745149689974158,0.2296387811745371,0.16406301934454565,0.6627282491944146,0.26301486652102096,0.5,29828,12575,1256,2468
lightgbm_gpu_numeric,valid,0.749772039263278,0.23823030260952568,0.17084809485937388,0.6345327604726101,0.26921105098262604,0.5,30935,11468,1361,2363
lightgbm_gpu_numeric,test,0.7443351025489577,0.22855147228900752,0.16957142857142857,0.6374865735767992,0.26788535319341006,0.5,30777,11626,1350,2374
