model,source,threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp
stage8_pytorch_mlp_embedding,stage8_valid_f1_threshold,0.72,0.7462901807633588,0.22471810489980093,0.24114730878186968,0.3657357679914071,0.2906530089628681,38117,4286,2362,1362
stage5_lightgbm_smote_gpu,stage6_fn10_fp1,0.1,0.7607654437335503,0.2413432587303225,0.1883331986749616,0.6259398496240601,0.2895472330911123,32357,10046,1393,2331
stage5_lightgbm_raw_gpu,stage6_fn20_fp1,0.05,0.7575985962325132,0.2423973168272875,0.1312662379147323,0.8276047261009667,0.2265926552218505,22006,20397,642,3082
