model_family,source_model,selection_split,roc_auc,pr_auc,precision,recall,f1,threshold,tn,fp,fn,tp
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.13018242122719734,0.8431793770139635,0.22554230713977877,0.05,21423,20980,584,3140
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.14288450488412183,0.8012889366272825,0.2425227568270481,0.06,24503,17900,740,2984
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.15349687136607787,0.7443609022556391,0.2545103980168021,0.07,27116,15287,952,2772
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.16562698917886695,0.6987110633727175,0.2677781208191829,0.08,29295,13108,1122,2602
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.17676987934292776,0.6530612244897959,0.27822903557945317,0.09,31077,11326,1292,2432
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.18800099165358236,0.6109022556390977,0.28751974723538704,0.1,32577,9826,1449,2275
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.19960418433700877,0.5687432867883996,0.2955005231949773,0.11,33910,8493,1606,2118
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.21250132879770384,0.5367883995703545,0.30447033736958345,0.12,34995,7408,1725,1999
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.2236983842010772,0.5018796992481203,0.3094627038662141,0.13,35917,6486,1855,1869
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.23529411764705882,0.47046186895810954,0.3136974037600716,0.14,36709,5694,1972,1752
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.24804098854731765,0.44199785177228784,0.31776061776061776,0.15,37413,4990,2078,1646
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.2589817810318406,0.40843179377013966,0.3169740543919975,0.16,38051,4352,2203,1521
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.27010506208213947,0.37969924812030076,0.3156602299363768,0.17,38582,3821,2310,1414
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.2847088931541907,0.35848549946294306,0.3173659812195412,0.18,39049,3354,2389,1335
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.298254006218608,0.33485499462943075,0.3154965211891208,0.19,39469,2934,2477,1247
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.3128654970760234,0.3160580021482277,0.31445364680737375,0.2,39818,2585,2547,1177
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.32277169084986673,0.29269602577873255,0.3069990142233488,0.21,40116,2287,2634,1090
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.33663693425834157,0.27363050483351237,0.30188120278477265,0.22,40395,2008,2705,1019
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.3471104608632041,0.25483351235230933,0.2938990399504491,0.23,40618,1785,2775,949
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.3575487012987013,0.2365735767991407,0.28474466709760826,0.24,40820,1583,2843,881
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.365036231884058,0.21643394199785176,0.2717464598786244,0.25,41001,1402,2918,806
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.3782565130260521,0.2027389903329753,0.263986013986014,0.26,41162,1241,2969,755
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.38406198118428336,0.18635875402792695,0.25094919544386185,0.27,41290,1113,3030,694
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.39061547836684946,0.1721267454350161,0.23895619757688724,0.28,41403,1000,3083,641
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.39823609226594303,0.15762620837808808,0.22585609849942284,0.29,41516,887,3137,587
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.39878695981804396,0.14124597207303974,0.20860598849890938,0.3,41610,793,3198,526
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.4091680814940577,0.12943071965628355,0.1966544267645859,0.31,41707,696,3242,482
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.42218080149114634,0.12164339419978518,0.1888680425265791,0.32,41783,620,3271,453
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.4317948717948718,0.11305048335123523,0.17918706107682486,0.33,41849,554,3303,421
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.43859649122807015,0.10069817400644468,0.16379122079056563,0.34,41923,480,3349,375
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.4417989417989418,0.08968850698174007,0.14910714285714285,0.35,41981,422,3390,334
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.45209580838323354,0.08109559613319012,0.13752276867030966,0.36,42037,366,3422,302
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.4641638225255973,0.07303974221267455,0.12621809744779583,0.37,42089,314,3452,272
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.4682080924855491,0.06525241675617616,0.11454159792599576,0.38,42127,276,3481,243
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.47844827586206895,0.059613319011815255,0.10601719197707736,0.39,42161,242,3502,222
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.4975845410628019,0.05531686358754028,0.09956500724987917,0.4,42195,208,3518,206
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.5,0.04914070891514501,0.08948655256723716,0.41,42220,183,3541,183
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.515527950310559,0.04457572502685284,0.08205635195254572,0.42,42247,156,3558,166
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.5186440677966102,0.04108485499462943,0.07613834287136104,0.43,42261,142,3571,153
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.5384615384615384,0.03759398496240601,0.07028112449799197,0.44,42283,120,3584,140
xgboost,stage5_xgboost_raw_cuda,valid,0.7645585484003384,0.25731774941184415,0.5347826086956522,0.033029001074113856,0.0622154779969651,0.45,42296,107,3601,123
