model,split,roc_auc,pr_auc,precision,recall,f1,threshold,tn,fp,fn,tp
stage4_logistic_regression,valid,0.7496802647543861,0.23485728679756715,0.5483870967741935,0.009129967776584319,0.017960908610670893,0.5,42375,28,3690,34
stage4_logistic_regression,test,0.742919367392712,0.21975163149209723,0.4772727272727273,0.011278195488721804,0.022035676810073453,0.5,42357,46,3682,42
stage4_xgboost_cuda,valid,0.7645585484003384,0.25731774941184415,0.5901639344262295,0.01933404940923738,0.0374414976599064,0.5,42353,50,3652,72
stage4_xgboost_cuda,test,0.7592351677587613,0.24512083837943333,0.5211267605633803,0.01987110633727175,0.03828246249353337,0.5,42335,68,3650,74
stage4_lightgbm_gpu,valid,0.7641922324619179,0.25695645597133326,0.5763888888888888,0.02228786251342642,0.042916235780765255,0.5,42342,61,3641,83
stage4_lightgbm_gpu,test,0.7575667487300832,0.2423878321542853,0.5168539325842697,0.024704618689581095,0.04715530497180933,0.5,42317,86,3632,92
