selection_split,roc_auc,pr_auc,precision,recall,f1,threshold,tn,fp,fn,tp
valid,0.7556212013351608,0.24106769402917658,0.08077039864659698,1.0,0.14946819185229782,0.01,21,42382,0,3724
valid,0.7556212013351608,0.24106769402917658,0.0808686210640608,1.0,0.14963635633061437,0.02,77,42326,0,3724
valid,0.7556212013351608,0.24106769402917658,0.08105283782901182,0.9997314715359829,0.1499486477233824,0.03,193,42210,1,3723
valid,0.7556212013351608,0.24106769402917658,0.0814108591546216,0.9997314715359829,0.1505611161662117,0.04,395,42008,1,3723
valid,0.7556212013351608,0.24106769402917658,0.08182838036998746,0.9989258861439313,0.1512656297651723,0.05,662,41741,4,3720
valid,0.7556212013351608,0.24106769402917658,0.08248519922836427,0.9989258861439313,0.152387194559941,0.06,1024,41379,4,3720
valid,0.7556212013351608,0.24106769402917658,0.08310602334212762,0.9981203007518797,0.15343653250773995,0.07,1394,41009,7,3717
valid,0.7556212013351608,0.24106769402917658,0.08377365307320597,0.9962406015037594,0.1545511351801708,0.08,1827,40576,14,3710
valid,0.7556212013351608,0.24106769402917658,0.08459359437108786,0.9943609022556391,0.15592235462545792,0.09,2332,40071,21,3703
valid,0.7556212013351608,0.24106769402917658,0.08548293811451706,0.9922126745435016,0.15740484355364331,0.1,2873,39530,29,3695
valid,0.7556212013351608,0.24106769402917658,0.08650145498920492,0.9897959183673469,0.15909875690607736,0.11,3477,38926,38,3686
valid,0.7556212013351608,0.24106769402917658,0.08749880986384842,0.9871106337271751,0.1607486443939129,0.12,4067,38336,48,3676
valid,0.7556212013351608,0.24106769402917658,0.08862289928666425,0.984156820622986,0.16260342953481666,0.13,4713,37690,59,3665
valid,0.7556212013351608,0.24106769402917658,0.0894998034591195,0.978249194414608,0.16399567840100837,0.14,5342,37061,81,3643
valid,0.7556212013351608,0.24106769402917658,0.09078655051047153,0.9766380236305048,0.1661299531803129,0.15,5979,36424,87,3637
valid,0.7556212013351608,0.24106769402917658,0.09203139685523408,0.9728786251342643,0.16815576338446545,0.16,6659,35744,101,3623
valid,0.7556212013351608,0.24106769402917658,0.0932950637395599,0.9688506981740065,0.17020072174918036,0.17,7338,35065,116,3608
valid,0.7556212013351608,0.24106769402917658,0.09468968243510344,0.9648227712137487,0.17245434255681683,0.18,8051,34352,131,3593
valid,0.7556212013351608,0.24106769402917658,0.09595266908699744,0.958109559613319,0.17443594319098488,0.19,8786,33617,156,3568
valid,0.7556212013351608,0.24106769402917658,0.09747530186608123,0.9538131041890441,0.176874813265611,0.2,9515,32888,172,3552
valid,0.7556212013351608,0.24106769402917658,0.09883281551767571,0.9481740064446831,0.17900686928088008,0.21,10207,32196,193,3531
valid,0.7556212013351608,0.24106769402917658,0.10030299565515664,0.942266380236305,0.18130618993489717,0.22,10928,31475,215,3509
valid,0.7556212013351608,0.24106769402917658,0.10210280373831776,0.9387755102040817,0.1841744810873459,0.23,11659,30744,228,3496
valid,0.7556212013351608,0.24106769402917658,0.1036264786712869,0.9315252416756176,0.186505376344086,0.24,12396,30007,255,3469
valid,0.7556212013351608,0.24106769402917658,0.10524871145811095,0.9266917293233082,0.1890285651685701,0.25,13065,29338,273,3451
valid,0.7556212013351608,0.24106769402917658,0.10691333374929805,0.9202470461868958,0.19157023869416961,0.26,13776,28627,297,3427
valid,0.7556212013351608,0.24106769402917658,0.10879061314287536,0.916219119226638,0.19448798700373357,0.27,14452,27951,312,3412
valid,0.7556212013351608,0.24106769402917658,0.11036168132942327,0.9095059076262084,0.19683849596094613,0.28,15100,27303,337,3387
valid,0.7556212013351608,0.24106769402917658,0.11199547089383242,0.9030612244897959,0.19927707987674803,0.29,15738,26665,361,3363
valid,0.7556212013351608,0.24106769402917658,0.113585291113381,0.8958109559613319,0.20160754215265608,0.3,16369,26034,388,3336
valid,0.7556212013351608,0.24106769402917658,0.11546901668466335,0.890171858216971,0.20442142262510407,0.31,17009,25394,409,3315
valid,0.7556212013351608,0.24106769402917658,0.11697884766042305,0.8821160042964554,0.20656479909451048,0.32,17606,24797,439,3285
