epoch,train_loss,valid_pr_auc,best_valid_pr_auc,improved
1,1.1430922055493988,0.23260337242200657,0.23260337242200657,True
2,1.0975663916909615,0.23522415461229212,0.23522415461229212,True
3,1.0884394989417858,0.2373952874508695,0.2373952874508695,True
4,1.0830236054771771,0.23828232038763658,0.23828232038763658,True
5,1.0771237616106883,0.23714787085147077,0.23828232038763658,False
6,1.0731997215720752,0.23844289344447503,0.23844289344447503,True
7,1.0675742347684252,0.2402114340552891,0.2402114340552891,True
8,1.0629714561987262,0.24106769402917658,0.24106769402917658,True
9,1.0611925103014381,0.23943875489452404,0.24106769402917658,False
10,1.0573270365124325,0.23794051969844573,0.24106769402917658,False
11,1.0523280772040866,0.239390747183635,0.24106769402917658,False
